기업명,사원수,주소,직무,이용하는 기술스택,자격요건,직급,우대사항,해당 페이지 URL,기업 홈페이지 URL
쿤텍,81 명,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호","인공지능(AI), 데이터 엔지니어링, 데브옵스","SQL
Python
Apache Spark
Java
Microsoft Azure
AWS EC2","- 컴퓨터 사이언스, 공학, 수학 또는 관련 분야의 학사 학위 또는 이와 유사한 수준의 경험
- 최소 하나 이상의 SQL 기술(Hive, Pig, Impala, Spark SQL, Presto, Postgre SQL)에 대한 지식
- 최소 하나 이상의 프로그래밍 언어(Java, JavaScript, Python 등)로 소프트웨어 코드를 개발한 경험 구현 업무 실무 수행 가능
- 최소 하나 이상의 programming language (백엔드 위주 개발 경력 필요)
- 최소 하나 이상의 클라우드 사용 경험",경력 무관,"- Data Warehouse 설계, BI보고서 및 대시 보드 개발을 포함한 업계의 데이터베이스, 분석 기술에 대한 이해
- ETL 파이프라인을 통해 BI 시각화를 위한 툴(Tableau, MS Power BI 등)에 리포팅해본 경험
- SQL을 사용한 Raw Data핸들링 역량
- 다양한 로그 데이터 운영 경험
- Hadoop, Spark, Kafka 등의 데이터플랫폼 관련 경험
- AWS, GCP, Azure와 같은 클라우드 서비스 위에서의 개발 경험
- 웹 프론트엔드/백엔드 개발 경력
- Spring, Flask, Django, Laravel 등 Web Framework를 이용한 개발 경험",https://career.programmers.co.kr/job_positions/10895,https://coontec.kr/
쿤텍,81 명,"경기도 성남시 수정구 창업로54, LH 성장기업센터 232호","인공지능(AI), 데이터 엔지니어링, 데브옵스","Python
R
Azure
Machine Learning
GCP(Google Cloud Platform)
AWS EC2
AWS S3
AWS Lambda","컴퓨터공학, 데이터 , AI, 수학/통계학 등 전산계열 전공자
개발 경험",경력 무관,"통계적 기법을 통한 데이터 분석 역량
R/Python 프로그래밍 및 기본적인 쿼리 작성 능력
AWS, Azure 등 클라우드 환경에 대한 이해
쿠버네티스 및 도커에 대한 기술 역량
데이터 분석 관련 자격 보유
빅데이터 분석 프로젝트 유경험자 (데이터 분석 파이프라인 구축 유경험자)
Dataiku,Data Robot, H2O, TensorFlow 등 사용 경험자
Tableau, MS Power BI 등 BI 사용 경험자
Snowflake 등 data warehouse, data lake 사용 경험자
인근거주자, 해당직무 근무경험, 문서작성 우수자",https://career.programmers.co.kr/job_positions/10007,https://coontec.kr/
누벤트,18 명,"서울 강남구 테헤란로 501, (삼성동) 719호","서버/백엔드, 데이터 엔지니어링, 시스템/네트워크","Python
MySQL
AWS EC2
Linux
Redis
FastAPI","- python 기반 서비스 경험
- 하나 이상의 RDBMS, NoSQL 사용 경험
- AWS 인프라 사용 및 구축 경험
- 3년 이상의 관련 기술 개발 경험",3 ~ 10년,"- 데이터&SaaS 서비스 개발 경험
- API 연동 개발 경험
- 정규표현식을 활용한 데이터 처리 경험",https://career.programmers.co.kr/job_positions/12593,https://www.attracker.shop/
셀러허브,48 명,서울 강남구 삼성동 144-5 (에이타워),"서버/백엔드, 웹 풀스택, 데브옵스","PHP
Redis
MySQL
JavaScript
Git
Docker
AWS EC2
AWS ElastiCache
AWS S3
AWS RDS
AWS Lambda","백엔드 개발경험 3년이상 또는 그에 준하는 경험이 있는 분
함께 협업하는 사람들과 논리적으로 의사소통 할 수 있는 분
다양한 프로젝트에 대한 자원 배분 및 시간을 관리할 수 있는 분
장기적인 관점으로 확장성 있고 유연한 설계와 코드 품질에 대해 고민하는 분
RDBMS,Front-End 등 인접기술에 대한 이해가 있으신 분",1 ~ 10년,"개발을 진정 좋아하며, 본인이 맡은 기술적 챌린지를 해결해 나가는 것을 진정으로 즐기는 자세
온라인 이커머스 환경에 대한 높은 이해도 및 관련 개발 경험
PHP framework (Laravel, Codeigniter, Phalcon, etc)을 사용해본 경험
디자인 패턴 (Factory, Singleton, Strategy 등) 를 활용하여 서비스를 적용해본 경험
자료구조 (스택, 큐, 선형구조 등)에 대한 이해도
AWS (EC2, S3, SNS, Lambda 등)을 활용한 개발 경험
형상관리 경험 (Git,SVN,Mercurial) 이 있으신 분",https://career.programmers.co.kr/job_positions/12652,http://www.sellerhub.co.kr
아이트럭,18 명,"서울 서초구 동작대로 230, (방배동) 화련회관 10층",서버/백엔드,"Node.js
TypeScript
REST API
ExpressJS
MySQL
Sequelize.js
AWS EC2
AWS RDS
AWS S3","이런 분을 환영합니다! 🙂
Node.js 숙련자 및 웹 서비스 이해가 있으신 분
TypeScript 기반 서버개발 및 운영 경험이 있으신 분
RESTful API 이해가 높은신 분
상용 서비스 및 제품 개발에 참여해 본 경험이 있으신 분
다양한 UI 개발 경험과 사용자 경험에 대한 깊이 있는 이해도를 보유하신 분
논리적이고 체계적인 문제해결 능력이 있으신 분
효과적인 의사전달 및 협업 능력이 있으신 분",경력 무관,"이런 분은 더욱 환영합니다! 😀
새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분
코드 개선 및 코드 리뷰에 적극 참여하시는 분
웹 서비스 성능 개선 경험 및 노하우가 있으신 분
DevOps(AWS/Azure/GCP) 개발 경험이 있으신 분
CI/CD 에 기반한 빌드/테스트/배포 자동화 환경 구성
Git을 통한 형상관리 경험이 있으신 분

우리는 이런 기술을 사용합니다! 🖥️
Node.js - Express
MySQL, Sequelize.js
AWS EC2, EBS, RDS, S3",https://career.programmers.co.kr/job_positions/12194,https://www.itruck.co.kr/
컨워스,8 명,"서울 서대문구 연세로 50, 공학원 417호","로보틱스 미들웨어, 사물인터넷(IoT), 응용 프로그램","Python
Docker
AWS EC2
WebSocket
WebRTC","영어로 된 문서에 대해 검색 및 독해가 익숙하신 분
로보틱스/컴퓨터/전자공학 등 관련 분야 학사 이상 학위
python 등의 언어 활용 능력 및 C++ binding으로 활용 가능하신 분
Web Socket, WebRTC 등의 네트워크 통신에 이해가 있으신 분",경력 무관,"OpenCV 개발 관련 실무 경험이 있으신 분
RTMP, RTSP, RTP 등과 같은 프로토콜을 사용한 실무 경험이 있으신 분
실시간으로 영상을 스트리밍하는 실무 경험이 있으신 분
NoSQL DB를 사용한 실무 경험이 있으신 분
ReactJS를 사용한 웹 페이지 구축 실무 경험이 있으신 분",https://career.programmers.co.kr/job_positions/11412,http://conworth.io
팀블랙버드,23 명,"서울 영등포구 의사당대로 83, (여의도동) 17층",데브옵스,"AWS EC2
AWS S3
AWS RDS
Python
Git
PostgreSQL","- AWS 혹은 그에 준하는 클라우드 서비스를 운영해보신 경험이 있으신 분
- 백엔드 인프라의 모니터링 서비스를 구축 혹은 운영해보신 경험이 있으신 분
- CI/CD, 코드 컨벤션 등 팀 내 컨벤션을 구축해보신 경험이 있으신 분",3 ~ 10년,"- Cloud hosting service(especially AWS)를 깊이 사용하고 관리해보신 분
- Terraform 등의 Infrastructure as code 관련 툴 사용 경험이 있으신 분
- 투자, 암호화폐, 금융 분야에 대한 관심이 있으신 분",https://career.programmers.co.kr/job_positions/10977,https://cryptoquant.com/
팀블랙버드,23 명,"서울 영등포구 의사당대로 83, (여의도동) 17층","서버/백엔드, 데이터 엔지니어링, 블록체인","Python
SQL
REST API
Git
AWS EC2
AWS RDS
AWS ElasticBeanstalk","그래서, 아래 기준에 잘 맞는 분을 찾습니다
Hard Skills
RDB or NoSQL, 데이터베이스에 대한 경험이 있으신 분
RESTful API 및 SQL 혹은 NoSQL 기반의 데이터 모델링 경험이 있으신 분
프로덕션 환경에서 파이썬(Python) 프로그래밍 및 스크립팅 개발 경험이 있으신 분
Version Control System(especially Git)을 통해 협업을 해본 경험이 있으신 분
웹 프레임워크(e.g. Flask, Django)의 기본적인 지식 혹인 사용한 경험이 있으신 분

Soft Skills
스스로 동기를 부여하며(self-motivated) 일의 완성도, 개선점을 고민하시는 분
어떤 상황이 와도 업무의 마감 기한을 지키시는 책임감이 있으신 분",2 ~ 15년,"이런 경험이 있다면 더 좋습니다
RDB or NoSQL, 데이터베이스와 관련된 경험이 3년 이상 혹은 그에 준하는 실력을 보유하신 분
Cloud hosting service(especially AWS)를 깊이 사용하고 관리해보신 분
PostgresSQL을 이용하여 Replication, Failover, Backup, Cluster등 Database에 관해 깊이 운영해 보신 분
투자, 암호화폐, 금융 분야에 대한 관심이 있으신 분
투자 데이터 활용과 분석에 대한 이해와 관심이 있으신 분",https://career.programmers.co.kr/job_positions/7476,https://cryptoquant.com/
델레오코리아,46 명,"서울 강남구 테헤란로87길 36 (삼성동, 도심공항타워) 12층 델레오코리아","서버/백엔드, 시스템/네트워크, 응용 프로그램","AWS Cloud9
AWS EC2
AWS RDS
AWS S3
CI/CD
CircleCI
Google Container Registry
Jenkins
GitLab
Git","학력: 초대졸 이상
경력: 3년 ~ 8년(클라우드 설계/운영 경험)
CI / CD 환경 구축 및 운영 경험
OS, Network, DB, Server 에 대한 전반적인 이해와 지식보유
Container 기반 환경 구축 및 운영 경험",3 ~ 8년,"백엔드 개발(Java) 경험
대용량 서비스 구축/운영 경험
MSA 구조에 대한 이해
인프라, 어플리케이션 보안에 대한 이해
트러블 슈팅과 품질 개선 업무에 대한 흥미
Jenkins, Gitlab 등 CI Tool 사용 경험",https://career.programmers.co.kr/job_positions/6080,https://www.deleo.co.kr/#main
옵틱라이프,5 명,01849 서울 노원구 동일로174길 27,"서버/백엔드, 웹 풀스택","Ruby on Rails
CSS
HTML
JavaScript
Vue.js
Git
AWS EC2","자격조건
- 3년 이상 웹개발 경험
- 데이터베이스에 대한 기본적 지식이 있는 분
- AWS 사용에 익숙하며, 네트워크 및 클라우드 지식이 있는 분
- Cloud 기반 환경에서 1년 이상 서비스 설계 및 구축, 운영 경험이 있는 분
- RESTful API 설계 경험이 있는 분
- 다른 직군의 팀원에게 자신의 의견을 명료하게 전달하고 원활하게 의사소통 할 수 있는 능력을 가지신 분
- 플랫한 조직문화에 빠르게 적응해 모든 팀원과 수평적이고 효율적인 의사소통을 하실 수 있는 분",3 ~ 10년,"우대사항
- 웹 개발 프로세스(설계, 구현, 테스트, 배포, 운영)에 대한 이해
- Ruby on Rails를 이용한 웹 어플리케이션 개발 경험이 있으신 분
- 웹 프론트에 대한 이해가 있으신 분 (HTML, CSS, JS, Vue.js)
- 비즈니스를 고려해서 상황에 따라 최선의 기술을 선택할 수 있는 분",https://career.programmers.co.kr/job_positions/3842,http://www.opticlife.co.kr
