,기업명,기업형태,매출액,사원수,업종분류,설립연도
0,AB180,중소기업,272억 (2022.12),-명,응용 소프트웨어 개발 및 공급업,2015년 11월 04일
0,레몬베이스,중소기업,-,-명,응용 소프트웨어 개발 및 공급업,2020년 10월 30일
0,오토위니,대기업,"연결 재무제표 : 2조 7,545억
별도 재무제표 : 2조 2,408억","연결 재무제표 : 1,424억
별도 재무제표 : 1,244억","4,672명 (2023.09)",2000년 04월 10일
0,페이타랩,중소기업,5억 (2021.12),52명 (2022.07),시스템 소프트웨어 개발 및 공급업,2018년 02월 28일
0,한화비전,대기업,"8,041억 (2022.12)","1,136억 (2022.12)",781명 (2022.12),2018년 04월 02일
0,플라잉캣,중소기업,-,양호 (2021.01),18명 (2022.10),2018년 02월 27일
0,AB180,중소기업,272억 (2022.12),-명,응용 소프트웨어 개발 및 공급업,2015년 11월 04일
0,월급쟁이부자들,중소기업,118억 (2021.12),82억 (2021.12),-명,2018년 03월 27일
0,에잇퍼센트,중소기업,31억 (2022.12),55명 (2022.12),시스템 소프트웨어 개발 및 공급업,2014년 11월 13일
0,앤트,중견기업,194억 (2022.12),17억 (2022.12),103명 (2023.04),1996년 01월 16일
0,차봇모빌리티,중소기업,196억 (2022.12),60명 (2022.12),시스템 소프트웨어 개발 및 공급업,2016년 08월 24일
0,카비,중소기업,355억 (2022.12),6억 (2022.12),15명 (2022.12),2018년 04월 13일
0,뽀득,중소기업,31억 (2021.12),63명 (2021.08),그 외 기타 달리 분류되지 않은 제품 제조업,2017년 08월 08일
0,에디트콜렉티브,중소기업,-,-명,시스템 소프트웨어 개발 및 공급업,2018년 09월 10일
0,제이앤피메디,중소기업,-,12명 (2021.12),응용 소프트웨어 개발 및 공급업,2020년 07월 17일
0,제이앤피메디,중소기업,-,12명 (2021.12),응용 소프트웨어 개발 및 공급업,2020년 07월 17일
0,제이앤피메디,중소기업,-,12명 (2021.12),응용 소프트웨어 개발 및 공급업,2020년 07월 17일
0,제이앤피메디,중소기업,-,12명 (2021.12),응용 소프트웨어 개발 및 공급업,2020년 07월 17일
0,잉글리시에그,중소기업,191억 (2022.12),-7억 (2022.12),67명 (2023.12),2009년 02월 05일
0,씨앤에이아이,중소기업,-,양호 (2022.03),36명 (2022.03),2019년 10월 21일
0,에이에프아이,중소기업,47억 (2021.12),10억 (2021.12),8명 (2022.03),2020년 02월 17일
0,티웨이브,중소기업,-,-명,시스템 소프트웨어 개발 및 공급업,2016년 02월 22일
0,와이오엘오,중소기업,-,30명 (2021.12),전자상거래 소매 중개업,2017년 03월 14일
0,포스페이스랩,중소기업,47억 (2021.12),-1억 (2021.12),9명 (2020.05),2007년 03월 23일
0,컨비니언스,중소기업,148억 (2022.12),32명 (2021.06),컴퓨터 시스템 통합 자문 및 구축 서비스업,2013년 09월 26일
0,쿤텍,중소기업,82억 (2022.12),10억 (2022.12),73명 (2023.04),2016년 01월 28일
0,셀러허브,중소기업,-,74명 (2022.12),전자상거래 소매 중개업,2012년 07월 31일
0,아이트럭,중소기업,-,-명,컴퓨터 시스템 통합 자문 및 구축 서비스업,2020년 07월 31일
0,팀블랙버드,중소기업,8억 (2021.12),-명,응용 소프트웨어 개발 및 공급업,2018년 09월 27일
0,팀블랙버드,중소기업,8억 (2021.12),-명,응용 소프트웨어 개발 및 공급업,2018년 09월 27일
