,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
220,슬로그업,2016.0,45777.0,20.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 마포구,sgsg.slogup.com
233,제주도닷컴,2003.0,244820.0,23.0,호텔·여행·항공,중소기업,서울특별시 구로구,www.jejuisland.com
242,에이지,2005.0,941437.0,22.0,제조업기타,중소기업,충청남도 보령시,www.f1tech.biz
243,스매시,2017.0,50964.0,1.0,문화·스포츠·엔터테인먼트,중소기업,,
245,피나클 FINAKLE,2020.0,7000.0,7.0,소프트웨어·솔루션·ASP,중소기업,,
248,컨트롤웍스,1999.0,1245305.0,65.0,기계·조선·자동차·운송장비,중소기업,서울특별시 강남구,www.control-works.co.kr
249,아이디에스앤트러스트,1996.0,903851.0,86.0,소프트웨어·솔루션·ASP,중견기업,서울특별시 강남구,www.idstrust.com
255,루와콘텐츠그룹,2017.0,173940.0,28.0,방송·광고·영상·오디오,중소기업,서울특별시 구로구,www.roowa.co.kr
265,클러스터지원그룹,2008.0,519575.0,48.0,소프트웨어·솔루션·ASP,중소기업,경기도 군포시,www.icoop.or.kr
276,에그버스,2022.0,,20.0,소프트웨어·솔루션·ASP,중소기업,,
280,풀스택,2021.0,,6.0,연구개발업,중소기업,,
286,빅픽처인터렉티브,2015.0,1511737.0,140.0,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 금천구,www.bigpi.co/
288,리본솔루션,1999.0,170463.0,8.0,인쇄·기록매체복제업,중소기업,경기도 안양시 동안구,www.elabelmart.com
299,타이로스코프,2020.0,,11.0,의료·정밀·시계·광학기기,중소기업,울산광역시,thyroscope.com
312,지로,2020.0,,,부동산업,중소기업,경기도 부천시,parancorp.kr/
315,수성엔지니어링,1992.0,,780.0,건설·건축·토목·조경,중견기업,서울특별시 송파구,www.soosungeng.com
321,액스,2015.0,380000.0,331.0,용역·인력알선,중소기업,서울특별시 강남구,www.pxi365.com
323,아나토마지코리아,2008.0,265000.0,45.0,소매,중소기업,서울특별시 강남구,www.anatomage.co.kr
324,플랫포스,2015.0,334119.0,10.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 중구,www.platfos.com
325,스마일랩,2013.0,566522.0,9.0,도매·상품중개,중소기업,경기도 성남시 중원구,www.smilelab.co.kr
328,밸류맵,2015.0,20803.0,,소프트웨어·솔루션·ASP,중소기업,,
339,롱기스트,2020.0,,4.0,방송·광고·영상·오디오,중소기업,,
350,에이피알,2014.0,,241.0,유통,중견기업,서울특별시 송파구,www.apr-in.com
354,에스제이에이치스튜디오,2015.0,,15.0,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구,www.sjh-studio.com/
357,에이블제이,2021.0,115730.0,2.0,네트워크·통신,중소기업,서울특별시 강남구,interviewbox.co.kr/
359,뉴아인,1978.0,4772529.0,132.0,철강·금속·비금속,중소기업,서울특별시 서초구,www.asia.co.kr
