,기업명,주소,업종분류,설립연도
0,한화비전,경기도 성남시 분당구,방송장비 제조업,2018
1,디플래닉스,서울특별시 서초구,데이터베이스 및 온라인 정보 제공업,2021
2,AB180,서울특별시 서초구,응용 소프트웨어 개발 및 공급업,2015
3,월급쟁이부자들,서울특별시 서초구,그 외 기타 분류 안된 교육기관,2018
4,에잇퍼센트,서울특별시 종로구,시스템 소프트웨어 개발 및 공급업,2014
5,차봇모빌리티,서울특별시 성동구,시스템 소프트웨어 개발 및 공급업,2016
6,에이치디현대글로벌서비스,부산광역시 해운대구,엔지니어링 서비스업,2016
7,잉글리시에그,서울특별시 강서구,"서적, 잡지 및 기타 인쇄물 도매업",2009
8,셀러허브,서울특별시 강남구,전자상거래 소매 중개업,2012
