기관명,훈련과정명,훈련시작일자,훈련종료일자,총훈련기간,총훈련시간,취업률
서울IT아카데미 홍대,(디지털컨버전스) 클라우드(AWS) 서비스와 가상화 솔루션(Docker) 활용 웹&앱 개발자 양성 (2),2024-03-04,2024-08-13,113일,총900시간,취업률(해당없음)
이젠아카데미 DX교육센터,클라우드기반 자바 백엔드개발(웹프로그래머) A,2024-03-04,2024-08-01,105일,총900시간,75.1 %
이젠아카데미DX교육센터,클라우드(AWS)기반 백엔드개발(웹프로그래머)_A,2024-03-04,2024-08-01,105일,총900시간,76.9 %
효성직업전문학교,"(2023)AWS클라우드기반(node.js,spring)풀스택개발자",2024-03-05,2024-08-05,105일,총840시간,취업률(해당없음)
이젠아카데미 DX교육센터,AWS환경 데이터 분석 플랫폼 풀스택개발,2024-03-05,2024-08-07,108일,총860시간,75.1 %
중앙정보기술인재개발원,클라우드 데브옵스 프론트엔드&백엔드 자바(JAVA) 풀스택 개발자 취업캠프,2024-03-05,2024-08-28,120일,총960시간,75.2 %
쌍용교육센터,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,2024-03-05,2024-09-11,130일,총1040시간,87.9 %
이젠아카데미DX교육센터,(산대특)_빅데이터 기반 큐레이션 웹서비스 개발_육성,2024-03-05,2024-07-26,100일,총800시간,취업률(해당없음)
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,2024-03-05,2024-08-26,120일,총960시간,81.1 %
이젠아카데미컴퓨터학원,AWS클라우드 활용 지능형 웹서비스 풀스택개발,2024-03-05,2024-08-21,114일,총860시간,58 %
더조은컴퓨터아카데미학원,AWS클라우드 활용 자바 풀스택 개발자(React&Springboot),2024-03-06,2024-09-10,130일,총1040시간,69.4 %
노원 그린컴퓨터아카데미,AWS(아마존웹서비스)클라우드 교육과정,2024-03-06,2024-04-08,10일,총39시간,취업률(해당없음)
더조은컴퓨터아카데미 종로,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,2024-03-06,2024-10-14,151일,총1202시간,69 %
연세IT미래교육원(구.연세직업전문학교),클라우드 보안엔지니어(화이트해커) 양성,2024-03-06,2024-09-09,129일,총1030시간,86.4 %
투썬캠퍼스 분당센터,(산대특)_AWS(클라우드) 활용 챗봇(챗-GPT)개발자 과정_양성_육성,2024-03-07,2024-08-06,105일,총840시간,취업률(해당없음)
노원 그린컴퓨터아카데미,Open API를 활용한 자바(JAVA)기반 챗봇 웹개발자(CI/CD) 양성과정,2024-03-07,2024-09-06,126일,총1008시간,58.6 %
코드랩아카데미학원,케라스 활용 머신러닝 빅데이터 분석_A,2024-03-08,2024-04-29,22일,총64시간,44.4 %
코드랩아카데미학원,파이썬(python)과 빅데이터 분석 입문_B,2024-03-08,2024-04-19,13일,총39시간,44.4 %
서울IT아카데미 홍대,(디지털컨버전스) 클라우드(AWS) 서비스와 가상화 솔루션(Docker) 활용 웹&앱 개발자 양성 (1),2024-03-11,2024-08-21,113일,총900시간,취업률(해당없음)
연세IT미래교육원(구.연세직업전문학교),"[일반고] 정보시스템 구축 실무자(모의해킹, 정보처리기능사)_스마트혼합훈련",2024-03-11,2025-01-03,188일,총1300시간,86.4 %
이젠아카데미 DX교육센터,자바(JAVA) 풀스택(프론트엔드&백엔드) 개발자 C,2024-03-11,2024-08-08,105일,총900시간,75.1 %
(주)이젠컴퓨터아카데미안산,자바(JAVA) 프로그래밍(기초),2024-03-13,2024-04-15,12일,총36시간,68.8 %
(주)이젠컴퓨터아카데미안산,파이썬(python)프로그래밍과 빅데이터 분석 기초,2024-03-13,2024-04-15,12일,총36시간,취업률(해당없음)
더조은컴퓨터학원,AWS 클라우드 기반 자바&스프링&리액트 풀스택 개발자 양성,2024-03-15,2024-09-05,120일,총960시간,84.1 %
한국경영원 인재개발원,[디지털컨버전스] AWS 클라우드 융합 자바 개발자 양성과정,2024-03-15,2024-09-27,121일,총900시간,66.3 %
(재)한국아이티교육재단 한국IT직업전문학교,AWS 클라우드 서비스 기본 활용 - Architecture,2024-03-16,2024-04-20,6일,총48시간,54.5 %
(재)한국아이티교육재단 한국IT직업전문학교,클라우드 서비스 활용(AWS),2024-03-16,2024-04-27,7일,총56시간,54.5 %
이젠아카데미컴퓨터학원,"SQL 개발자 자격증(SQLD, 데이터자격시험)",2024-03-16,2024-05-18,10일,총60시간,28.6 %
(재)한국아이티교육재단 한국IT직업전문학교,클라우드 서비스 리눅스 활용 - EC2+Linux,2024-03-16,2024-04-13,5일,총40시간,54.5 %
(재)한국아이티교육재단 한국IT직업전문학교,리눅스 활용한 클라우드 서비스(AWS) - EC2+Linux,2024-03-16,2024-04-20,6일,총48시간,54.5 %
하이미디어아카데미인재개발원,"[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",2024-03-18,2024-09-04,118일,총940시간,86 %
두드림컴퓨터아카데미,AWS 클라우드 활용 풀스택+RPA 자동화 솔루션 개발 과정,2024-03-19,2024-09-05,119일,총950시간,75.6 %
이젠아카데미 DX교육센터,파이썬 프로그래밍 기초(입문),2024-03-19,2024-04-30,13일,총39시간,54.5 %
안산 그린컴퓨터아카데미,(디지털컨버전스) 데이터 융합 자바(JAVA) & 스프링(spring) 개발자 양성과정-B,2024-03-20,2024-08-30,113일,총900시간,87 %
이젠아카데미컴퓨터학원,[프론트엔드개발]리액트(React JS) 자바스크립트,2024-03-22,2024-04-25,24일,총70시간,28.6 %
이젠아카데미컴퓨터학원,"비전공자, 초보 개발자를 위한 IT 기본 지식과 자바 프로그래밍 기초",2024-03-23,2024-04-27,6일,총39시간,28.6 %
