,기업명,업종분류,사원수,설립연도,매출액
0,엔비티,"세제, 화장품 및 광택제 제조업",6명,8년 (2016년 설립),"14억5,461만원"
0,누리랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,27명,9년 (2015년 설립),"17억9,375만원"
0,에프랩앤컴퍼니,일반 교습학원,,2년 (2022년 설립),-원
0,엑스브레인,시스템ㆍ응용 소프트웨어 개발 및 공급업,5명,9년 (2015년 설립),"3억4,636만원"
0,법틀,시스템ㆍ응용 소프트웨어 개발 및 공급업,22명,7년 (2017년 설립),"8억4,049만원"
0,약손명가헬스케어,시스템ㆍ응용 소프트웨어 개발 및 공급업,7명,3년 (2021년 설립),-원
0,코넥티브,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,2년 (2022년 설립),-원
0,마이크로프로텍트,"컴퓨터 시스템 통합 자문, 구축 및 관리업",56명,5년 (2019년 설립),"9,272만원"
0,엔비티,"세제, 화장품 및 광택제 제조업",6명,8년 (2016년 설립),"14억5,461만원"
0,피에로컴퍼니,통신 판매업,,3년 (2021년 설립),-원
0,제이앤피메디,시스템ㆍ응용 소프트웨어 개발 및 공급업,68명,4년 (2020년 설립),"9,797만원"
0,마켓디자이너스,경영 컨설팅 및 공공 관계 서비스업,,7년 (2017년 설립),"105억3,971만원"
0,더블유클럽,시스템ㆍ응용 소프트웨어 개발 및 공급업,,3년 (2021년 설립),"10억5,181만원"
0,모라이,공학 연구개발업,132명,6년 (2018년 설립),"20억4,483만원"
0,소셜인프라테크,시스템ㆍ응용 소프트웨어 개발 및 공급업,14명,5년 (2019년 설립),"18억9,378만원"
0,벨루가브루어리,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,6년 (2018년 설립),"4억2,659만원"
0,데이오프컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2년 (2022년 설립),-원
0,아이엠지베이스,게임 소프트웨어 개발 및 공급업,13명,7년 (2017년 설립),16억원
0,브이피피랩,시스템ㆍ응용 소프트웨어 개발 및 공급업,16명,3년 (2021년 설립),-원
0,에임,-,,5년 (2019년 설립),-원
0,젠다카디언,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,17명,6년 (2018년 설립),-원
0,데이오프컴퍼니,시스템ㆍ응용 소프트웨어 개발 및 공급업,9명,2년 (2022년 설립),-원
