,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
522,큐픽스,2015년 8월 19일,28억 419만원 (2022),59 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기도 성남시 분당구 대왕판교로 670 B동 605호 (삼평동,유스페이스2)지도보기",//www.cupix.com
523,솔로몬텍,2012년 3월 2일,"548억 3,127만원 (2022)",510 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 영등포구 당산로37길 16 (당산동4가,씨에스로직스복합시설), 3층지도보기",//www.solomontech.net
524,패스트뷰,2021년 8월 11일,-,4 명 재직중,생활용품·화장품,중소기업,,
525,에드워드코리아,1992년 9월 1일,"1조 236억 5,598만원 (2022)","1,441 명 재직중",기계·조선·자동차·운송장비,중견기업,충남 천안시 서북구 3공단1로 96 (차암동)지도보기,//www.edwardsvacuum.com
526,플루언트,2021년 7월 27일,"1,800만원 (2022)",2 명 재직중,소프트웨어·솔루션·ASP,중소기업,,
527,프리윌린,2017년 3월 22일,"91억 3,477만원 (2022)",60 명 재직중,네트워크·통신,중소기업,"서울특별시 관악구 관악로 217 3F 프리윌린(봉천동,동진빌딩)지도보기",//www.mathflat.com
528,플레져,2010년 2월 4일,-,-,교육기관,소기업,경기 수원시 팔달구 화서동 150-3 2층지도보기,//cafe.naver.com/ipleasurejunglegym
529,스쿨버스,2018년 4월 27일,"12억 1,399만원 (2022)",42 명 재직중,육상운송,중소기업,"서울특별시 강서구 마곡중앙8로1길 26 (마곡동,(주)캐스트윈마곡신사옥)지도보기",//www.safeschoolbus.net
530,한화비전,2018년 4월 2일,"8,040억 8,711만원 (2022)",895 명 재직중,전기·전자·반도체,대기업,경기도 성남시 분당구 판교로319번길 6 한화테크윈(삼평동)지도보기,//www.hanwha-security.com
531,르몽,2015년 12월 29일,-,50 명 재직중,식음료·외식(프랜차이즈),중소기업,,
532,구름,2011년 7월 29일,"16억 8,494만원 (2021)",30 명 재직중,소매,중소기업,"서울 송파구 백제고분로41길 40 401호 (송파동,부영빌딩)지도보기",//www.goorm.co
533,크라우드웍스,2017년 4월 25일,"106억 8,913만원 (2022)",140 명 재직중,네트워크·통신,중소기업,"서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩)지도보기",//www.crowdworks.ai
534,인스피언,2009년 6월 15일,"132억 2,695만원 (2022)",85 명 재직중,언론·출판·신문·잡지,중소기업,"서울특별시 금천구 벚꽃로 278 1012호 (가산동,에스제이테크노빌)지도보기",//www.inspien.co.kr
535,구름,2011년 7월 29일,"16억 8,494만원 (2021)",30 명 재직중,소매,중소기업,"서울 송파구 백제고분로41길 40 401호 (송파동,부영빌딩)지도보기",//www.goorm.co
536,아일로,2009년 1월 1일,-,7 명 재직중,섬유·의복·모피,중소기업,"서울특별시 강남구 선릉로 820 2층 201호(청담동,남한강빌딩)지도보기",//the_aisle_official
537,솔로몬텍,2012년 3월 2일,"548억 3,127만원 (2022)",510 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 영등포구 당산로37길 16 (당산동4가,씨에스로직스복합시설), 3층지도보기",//www.solomontech.net
538,더블다운인터액티브,2007년 12월 18일,"273억 2,202만원 (2022)",133 명 재직중,인터넷·포털·컨텐츠·게임,중견기업,"서울 강남구 테헤란로 152 13층 (역삼동,강남파이낸스센터)지도보기",//www.doubledowninteractive.com
