,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
0,젭(zep),서울특별시 강남구 강남대로94길 10 케이스퀘어 8층,소프트웨어 엔지니어,"하나이상의프로그래밍언어를다룰수있는분•새로운지식,기술에대한관심과열정이있으신분•협업과커뮤니케이션이원활하고성실하신분",3,"• 멀티 쓰레드와 분할 서버 환경을 이해하시는 분, • 웹소켓 서버에 대한 이해가 있으신 분, • 클라우드 환경에서의 구축 & 운영 경험이 있으신 분 (AWS 등), • 메타버스에 대한 관심이 높은 분",https://www.wanted.co.kr/wd/180861
1,서커스컴퍼니,서울시 강남구 논현동 87-3 우신논현빌딩 3층,소프트웨어 엔지니어," 나이/성별/학력/전공무관, 3년이상의웹어플리케이션개발,운영경험, Node,.Net,Nginx,Apache,SystemDesign, MySQL,MariaDB,SQLServer등DBMS경험, 기본적인Linux사용능력, 여러직군들과협업하며AR/VR/MR/XR선도하는서비스를만들어가고싶으신분",0,"- 품질 좋은 소프트웨어 개발을 위해 지속적으로 노력해오신 분, - 객체지향 개발 및 테스트 작성에 대한 높은 이해, - 빌드 / 테스트 / 배포 자동화 경험 및 프로젝트 / 서버 아키텍처 구성, - AWS(EC2, S3, CF, …)를 활용한 개발, 운영 경험, - Git 등의 버전관리 시스템 사용 경험",https://www.wanted.co.kr/wd/207284
2,블로코(blocko),"경기도 성남시 분당구 성남대로 331번길 9-13, 3층(정자동, 이현빌딩)",소프트웨어 엔지니어," Golang개발경력2년이상, 대용량데이터,쓰레드프로그래밍에익숙한분",2,"• 블록체인 관련 개발 경험, • 블록체인 스마트 컨트랙트 개발 경험, • 타 언어 및 프레임워크(spring-boot, nodejs, lua) 개발경험, • 암호화 및 전자서명 관련 개발경험, • Docker 환경 사용 경험, • 클라우드 환경 설정 및 활용 (AWS 등), • ElasticSearch 활용 경험, •",https://www.wanted.co.kr/wd/206690
3,피매치,마포구 마포대로 122 프론트원 13층,소프트웨어 엔지니어,"경력:동종업(AI서비스개발/운영)2년이상또는그에준하는역량을가지신분•대용량데이터활용이가능하신분•Python,Tensorflow,Pytorch등딥러닝프레임워크개발에능숙하신분",2,"• 헬스케어 분야에서의 경험이 있으신 분, • 자연어 생성 모델(LLM) 관련 경험이 있으신 분 , • Linux, Docker 기반 개발 경험하신 분, • 최신 영문 논문을 분석하고 재현하는 데 능숙한 분",https://www.wanted.co.kr/wd/186806
4,만나플래닛,"서울시 구로구 경인로661, 101동 15층",소프트웨어 엔지니어,5년이상JAVA개발경험을가지신분ㆍ팀원들과원할한커뮤니케이션이가능하신분ㆍ스스로할일을정하고문제를해결할수있으신분,5,"ㆍRest API를 이해하고 API를 개발할 수 있는 분, ㆍGit, redmine 등의 협업 도구 사용에 익숙하신 분, ㆍ다양한 언어와 프레임워크를 경험해 보신 분 , ㆍ최신 기술 트렌드 적용 및 공유에 관심이 많으신 분 , ㆍ코드 리뷰에 적극 참여하시는 분",https://www.wanted.co.kr/wd/206244
5,패스트레인(여신티켓),강남구 테헤란로 423 현대타워 10층,소프트웨어 엔지니어,iOS네이티브앱개발3년이상의개발경험이있으신분•iOS네이티브앱프로젝트시작과배포까지싸이클경험이있으신분•UnidirectionalDataflow에대한이해를갖추신분•iOS최신트렌드를이용한개발경험을보유하고계신분•문제가생겼을때발빠르게대처할수있는디버깅스킬을갖추신분•분업과협력을통한훌륭한팀워크및커뮤니케이션능력을갖추신분•최신기술에지속적인관심을기울이고계신분•형상관리도구사용경험,3,"• RESTful API에 대한 이해를 갖추신 분  , • 다양한 아키텍쳐 및 코드 패턴에 대한 이해를 갖추신 분  , • 코드베이스로 UI 작성이 가능하신 분  , • 코드 개선 및 코드 리뷰에 대한 깊은 관심이 있으신 분  , • 유닛 테스트 및 UI 테스트 작성 경험을 보유하고 계신 분  , • 슬랙 / jira 등 이슈관리 도구 경험",https://www.wanted.co.kr/wd/179720
6,미트박스글로벌,"서울 강남구 테헤란로34길 22, 미트박스글로벌빌딩",소프트웨어 엔지니어,"CloudInfra(aws,gcp,azure,ncp등)사용/구축경험•helmchart,argoCD이용한컨테이너빌드/배포경험•수행업무에오픈소스SW적용경험(운영및troubleshooting등)•LinuxOS에솔루션구축경험",2,"• 컨테이너, 쿠버네티스 빌드 배포 구축 경험, • CI/CD 시스템 활용 및 구축 경험  , • REST API, Webhook에 대한 이해 또는 사용경험, • SW code Static Analysis 솔루션 구축 경험, • EFK stack 구축 경험, • zabbix 등 APM 구축 경험",https://www.wanted.co.kr/wd/202156
7,로지스팟,"서초구 사임당로 174, 13층(서초동,강남미래타워) 로지스팟",소프트웨어 엔지니어,"4년대졸자및ComputerScience관련전공자•10년이상프로덕트리더십역할경험•뛰어난성과를내는팀,획기적인제품을만들고자하는확고한의지소유자•고객문제해결에대한열정과이를위해고객과관계형성한업적•고객의요구와시장동향을분석및해석한경험•빠르게변화하는환경에서여러프로젝트와그우선순위를동시에관리하는능력•검증된변화촉진자이자강력한전략적사고역량보유자•KPI및성공지표를사용한Data, driven의사결정역량",10,"• 공급망, 물류산업 경험 및 이해도, • SaaS 및 플랫폼 서비스 경험",https://www.wanted.co.kr/wd/205962
8,이큐브랩 (Ecube Labs),"서울특별시 구로구 디지털로 300, A동 13층",소프트웨어 엔지니어," 만5년이상의유관경력(Backendengineer,Infraengineer)또는이에준하는지식보유, AWS/GCP/Azure등클라우드컴퓨팅환경에서서비스운영및관리경험3년이상보유, Terraform/AWSCDK와같은IaC를이용한인프라관리경험3년이상보유, Kubernetes클러스터구축및운영경험3년이상보유, 컨테이너기반의서비스운영경험3년이상보유, AWSCertifiedSolutionArchitect—Associate또는이에준하는자격보유, Prometheus,Datadog,ELK등의서비스로로깅및모니터링경험보유",5,"- On-premise 환경에서의 서비스 관리 경험 보유, - OpenStack 과 같은 IaaS를 이용한 Private/Public Cloud 구축 및 운영 경험 보유, - Multi Cloud 운영 경험 보유, - AD/LDAP 와 같은 Directory Service를 이용한 중앙 인증 시스템 운영 경험 보유, - Vault 와 같은 Multi Cloud 통합 인증 시스템 관리 경험 보유, - Kafka 와 같은 메시지 브로커 운영 경험 보유",https://www.wanted.co.kr/wd/115294
9,세이프에이아이,"강남구 영동대로 324, 804호",소프트웨어 엔지니어,"새로운기술과최신트렌드를공부하는것을즐기시는분•원활한커뮤니케이션으로협업에적극적으로참여하실수있는분•DataStructure,OOP,Algorithm등ComputerScience에대한기초지식을보유하신분•Express,Spring,Django등의프레임워크를활용한서버개발경험이있으신분•Mysql,MongoDB등을활용한데이터베이스설계및관리경험이있으신분•Docker사용경험이있으신분•Git을통한협업이가능하신분",3,"• AWS, Azure 등과 같은 Public Cloud 서비스 구축 경험이 있으신 분, • 머신러닝 및 AI 모델 개발 및 연동 경험이 있으신 분, • JavaScript, React 등 활용한 웹UI, App 개발 경험이 있으신 분, • 코드 개선 및 코드 리뷰에 적극 참여하시는 분, • DevOps, MLOps 구현 경험이 있으신 분, • 아래의 SAFE AI 개발 환경에 익숙하신 분",https://www.wanted.co.kr/wd/202161
10,마크비전코리아,서울 강남구 테헤란로 427,소프트웨어 엔지니어,"백엔드개발경력3~10년또는그에준하는실력을가지고계신분•기초적인웹지식을갖추고계신분•AWS등클라우드서비스를이용해보신분•논리적인사고를통해문제해결능력을갖추고계신분•팀원간,조직간의원활한커뮤니케이션능력을갖추신분",3,"• 스크래핑된 데이터 기반의 서비스를 만들어 보신 분, • 컨테이너 기반의 서비스를 개발하거나 운영해보신 분, • 테스트 코드 작성에 대한 이해와 경험이 있으신 분, • 코드 기반의 선언적인 인프라를 운영해 보신 분",https://www.wanted.co.kr/wd/200606
11,위시빈,서울특별시 강남구 테헤란로 151 역삼하이츠 패스트파이브 역삼3호점,소프트웨어 엔지니어,"이런분과함께하고싶어요, Linux,Nodejsframework기반웹서비스개발경험, RestAPI개발경험, MySQL및MongoDB경험자, 웹Frontend개발을위한기초지식(Html,css,javascript), 쿠버네티스/Docker경험, AWS및cloud환경을통한개발경험자, Git을통한형상관리",7,"@ 이런 분이면 더욱 좋아요, , - 레거시 시스템 분석이 빠르고 개선의욕과 역량을 갖추신 분, - 데이터 분석을 통한 서비스 개선의지가 강하신 분, - Elastic Search 및 Apache Solr 검색 구축 경험자, - 풀스택 개발 역량이 있으신 분, - 슬랙, JIRA, Confluence 등 협업 툴 활용 경험, , ※ 관련경험 중심으로 작성한 이력서와 포트폴리오를 첨부해주시면 서류검토에 큰 도움이 됩니다.",https://www.wanted.co.kr/wd/199404
12,비에이치에스엔,"서울 강남구 삼성로 570, 5층",소프트웨어 엔지니어,"ML/AI개발실무경력3년이상이거나그에준하는역량을보유하신분•기본적인NLP지식을가지고있으며,언어모델을이용한NLP방법론에익숙하신분•LLM개발및DistributedComputing에익숙하신분•DAPT(DomainAdaptivePre, Training)등다량의문서를사전학습해보신분•PEFT(Parameter, EfficientFine, Tuning)등효율적인파라미터튜닝을해보신분•Toolformer처럼다양한API/Tool을LLM과결합하여학습해보신분•Git,Docker등을이용한코드관리및배포에익숙하신분",3,"• ML/AI 프로젝트를 상용 서비스에 배포해보신 분, • 머신러닝 관련 오픈소스에 기여해본 경험이 있는 분, • 최신 딥러닝 관련 논문을 이해하고 직접 구현할 수 있는 분, • Kaggle 혹은 AI 대회에서 입상하신 분, • 컴퓨터과학, 머신러닝 관련 전공 석박사 학위를 소지하신 분, • NLP 분야 Top Tier 국제 컨퍼런스에 출판 경험이 있으신 분",https://www.wanted.co.kr/wd/204924
13,아이엠에스이,경기도 성남시 분당구 판교로256번길 9-22,소프트웨어 엔지니어,"웹서비스개발및운영업무관련역량, 마이크로서비스아키텍처를적용한서비스설계및개발능력, 테스트설계및수행능력, 깃허브,지라,젠킨스등개발툴사용능력, 기획자와의소통능력•AWS등Public클라우드개발및운영경험",10,"• 서비스 구조 개선 업무 관련 역량 ,     - 안정적인 서비스 제공을 위한 구조 개선 경험,     - 장애 대응 능력 강화를 위한 구조 개선 경험,     - 보안 강화를 위한 구조 개선 경험,     - 운영중인 서비스에 대한 구조 변경 적용 경험 , , • 파이썬 사용 역량,     - 파이썬을 사용한 OOP 코드 개발 능력,     - pytest 또는 unittest를 사용한 단위 테스트 작성 능력,     - 파이썬을 사용한 AWS 람다 코드 개발 능력 , , • CloudFoundation, SAM등 Infrastructure as Code pipeline 경험",https://www.wanted.co.kr/wd/205819
14,한국부동산데이터연구소,"서울특별사 마포구 마포대로 122, 17층",소프트웨어 엔지니어," 고객이사용하는제품을개발&운영해보았던경험, 개발프로세스에대한이해(디자인,설계,구현,테스트,배포,운영), 팀으로일할때행복하신분, RESTAPI연동/개발경험이있으신분, nodejs,java,php,c#,python중한개이상언어의사용이가능하신분",5,"- 클라우드 시스템에서의 개발 경험, - vue, react, svelte 중  사용이 가능하신 분, - 웹/앱 개발 경험, - UX를 고려한 사용자가 어떻게 사용할까에 대한 고민이 즐거우신 분, - 팀 내 소통 및 성장에 목마르신 분, - 퍼블리싱 능력 (html/css)이 있으신 분, , , 흔히 말하는 개발자란 문제를 해결하는 사람이라고 말합니다., , 전월세 시장에서의 정보 비대칭 문제로 지금도 전국 어디에서 피해자가 겪고 있을 사기 문제를 해결하며 부동산 시장의 더 나은 고객 경험을 제공하고 싶으신 분, 이런 매력적인 시장에  주도적으로 무언가를 하며 하루하루 설레고 싶으신 분이 계시다면 함께 하고 싶습니다., , 부동산시장에 대해 평소에 어떻게 생각하셨나요?  , , 흥미로울 것이고, 재미있을 것이고 절대 지루하게 개발만 하게 하지 않겠습니다., 이미 여러 분야에서 다양한 경험을 많이 하셨을 수 있으시겠지만, 저희와 더 재미있게 일하실 생각이 있으실까요 ?, , 마지막으로 그간의 회사 생활을 해오며 느꼈던 점 중 안 좋은 기억으로 남아있는 하나는 조직에 쏟았던 에너지만큼 돌아오는 현실은 내가 생각했던 것들과 달랐다 라는 점이었습니다., , 말 한마디의 관심과, 적어도 외면은 하지 않는 팀이 되리라 꼭 말씀드립니다., , 감사합니다.",https://www.wanted.co.kr/wd/190361
15,퀀텀유니버스,논현로313 5층,소프트웨어 엔지니어,2~5년개발경험•Unity필수사용자•그래픽스에대한이해•병역의무자의경우군필자또는병역면제자,2,"• MR 콘텐츠 제작 경험자, • OOP에 대한 개념적인 이해가 있으신 분, • SwiftUI 해보신 분, • 신기술 습득에 대한 관심 및 열정이 있으신 분, • 인터렉티브 콘텐츠에 관심이 많으신 분, , • 완성도에 욕심이 있으신 분, • 원활한 의사 소통 및 협업 능력, • 능동적이고 책임감 있는 분 / 긍정적 사고를 보유하신 분",https://www.wanted.co.kr/wd/180237
16,드래프타입,"서울특별시 성동구 왕십리로 125, 5층 517",소프트웨어 엔지니어,"런분과함께하고싶어요.•생성형AI기술에관심이많고새로운기술을찾아내는것이즐거우신분•StableDiffusion으로이미지를10,000장이상만들어본분•LoRA혹은LyCORIS로학습시켜본경험이있으신분•프롬프트나파라미터들의값0.1의차이가어떤결과를내는지하나하나테스트해야속이시원한분•PyTorch로직접코딩하진못해도오픈소스기술들을조합하여원하는이미지를만들자신이있는분•AI로만든멋진사진을보면그과정이나방법이끊임없이상상되는분•호기심이생기면결과를봐야만족하고결과를기록해두는습관이있으신분•깊은기술적지식보다넓은기술적시야를추구하시는분",0,"이런 분을 우대해요. 하지만 못해도 상관없어요. 배우려고 노력할 자신만 있다면 저희가 가르쳐드려요., , • Diffusion Model의 동작 방식을 이해하신 분, • Stable Diffusion의 이미지 생성 Pipeline을 이해하신 분, • PyTorch 개발 가능한 분, • Linux 환경에서 Docker 로 서버 서빙 경험이 있으신 분, • 오픈소스 코드를 직접 수정해본 경험이 있으신 분, • FastAPI로 API 개발 경험이 있으신 분",https://www.wanted.co.kr/wd/207185
17,라포랩스(퀸잇),"서울특별시 강남구 테헤란로98길 8 KT&G 대치타워, 6층",소프트웨어 엔지니어,"최소3년이상의DevOps/SRE경력이있으신분•최소1년이상의Kubernetes운영경험또는그에준하는이해도를갖추신분•PublicCloud(AWS,GCP,Azure)기반의서비스운영경험이있으신분•트러블슈팅을심도있게해본경험이있으신분※서류제출시,운영고도화나트러블슈팅경험을가장잘보여주는사례를구체적으로작성해주시면좋아요.",3,"• 이커머스 플랫폼 또는 대용량 트래픽을 경험 및 대응해보신 분, • 네트워크 관련 트러블슈팅에 강점을 가지신 분, • Terraform 기반 IaC 에 대한 이해가 있으신 분",https://www.wanted.co.kr/wd/188976
18,미트박스글로벌,"서울 강남구 테헤란로34길 22, 미트박스글로벌빌딩",소프트웨어 엔지니어,Git/Jira사용경험•Jenkins를이용한빌드/통합경험•1가지이상프로그래밍언어를활용한개발경험•LinuxOS에솔루션구축경험,5,"• 컨테이너, 쿠버네티스 빌드 배포 구축 경험, • CI/CD 시스템 활용 및 구축 경험 , • Jira Plug-in Scriptrunner 개발 경험 , • REST API, Webhook에 대한 이해 또는 사용경험, • Jira 기반 이슈 관리 및 개발 수행 경험 , • 수행 업무에 오픈소스SW 적용 경험(운영 및 trouble shooting 등), • SW code Static Analysis 솔루션 구축 및 코드 품질 관리 경험 , • Cloud Infra (aws, gcp, azure, nCloud 등) 사용/구축 경험",https://www.wanted.co.kr/wd/202150
19,커리어데이,서울특별시 강남구 역삼동 선릉로93길 40 나라키움역삼A빌딩 스파크플러스,소프트웨어 엔지니어,"JavaScript및Node.js를익숙하게사용가능한분•SQL이나MongoDB등의DB를익숙하게사용가능한분•HTML,CSS,JavaScript(TypeScript)를익숙하게사용가능한분•React(orNext.js)를사용한서비스개발경험(2년이상)•업무관련한커뮤니케이션능력이뛰어난분•친절하며매너있는분",5,"• Nest.js 개발 및 운영 경험, • Next.js 개발 및 운영 경험, • AWS 개발 및 운영 경험, • 알고리즘/데이터구조에 대한 이해, • React 를 사용한 프론트엔드 개발에 대한 이해 및 경험, • CI/CD 에 대한 이해 및 경험",https://www.wanted.co.kr/wd/160953
20,파더스랩,"서울특별시 강남구 언주로 540, 4층",소프트웨어 엔지니어,"IT프로젝트에관한업무경력5년이상보유한분ㆍ외국어(영어)에능통하신분ㆍ해외출장에결격사유가없는분ㆍTask관리를할수있는폭넓은업무이해와Risk관리능력을보유한분ㆍ합리적인의사결정과논리적인대화,체계적인문서화가가능한분",3,"ㆍ차량용(Automotive) SW개발 경험, ㆍEmbedded Project PM 경험 5년 이상, ㆍ이슈 관리 시스템 사용 경험(Jira, Confluence 등 사용 가능), ㆍ그 외 개발 Tool 사용 경험, ㆍ 대규모 프로젝트 관리 경험이 있는 분",https://www.wanted.co.kr/wd/173859
21,마켓디자이너스,"서울특별시 강남구 테헤란로7길 12, 3층 (역삼동, 허바허바빌딩)",소프트웨어 엔지니어,"이런분을찾고있어요!＞•학력:초대졸이상•경력:4~10년•React와Next.js에대한이해도가높으신분•Frontend개발경력4년이상이신분•Typescript개발에능숙하신분•웹뷰개발에익숙하신분•디자인시스템을기반으로컴포넌트라이브러리를개발한경험이있으신분※근무형태:정규직(3, 6개월시용기간후,정규직전환여부검토)",4,"＜이런 분이면 더 좋겠어요!＞, • REST API 설계 경험이 있으신분, • SSR 프레임워크에 대한 경험이 있으신분, • StroyBook 을 활용하여 디자인 시스템을 구축해본 경험이 있으신분, • Cypress, Playwright 와 같은 E2E에 대한 경험이 있으신분, • 최신 기술에 대한 높은 관심을 가지고 탐구하는 분, • 우수한 웹 접근성을 제공하고 웹최적화를 통해 성능 좋은 서비스 개발에 관심이 있으신분, , , [ Interview Process ], • 서류접수 ＞ 사전과제  ＞  인터뷰 1차  ＞  인터뷰 2차  ＞  최종합격,   - 서류전형, 인터뷰전형의 결과안내는 1주~2주 소요될 수 있습니다., , , [근무조건], • 근무형태 : 정규직 (3-6개월 시용기간 후, 정규직 전환 여부 검토) , • 서울 강남구 테헤란로 7길 12 허바허바빌딩 3층(역삼동), , , !!구성원 및 조직문화!!, , • Core Value(핵심가치),   - Accountability (감당할 수 있는 책임감과 역량),   - Progress (진보, 변화, 도전, 성장, 목표 중심, 성취 지향),   - Professionalism (업계 최고의 전문성),   - Team work (소통, 다양성, 의사 결정에 대한 존중, 추진력), , • Mission / Vision ,   - Misson : 누구나 언어의 장벽없이 새로운 세상을 만나게 한다.,   - Vision : 외국어 교육의 새로운 기준이 되는 글로벌 AI 테크 플랫폼, , • 튜터링 사업부 조직은 이렇게 일해요!,   - 튜터링 사업부 크루는 디지털 교육경험을 혁신하여 꿈을 현실로 만드는 사람들입니다.,   - 우리는 디지털 플랫폼 기술과 교육을 접목시켜, 경제력이 교육을 지배하지 않는 세상을 목표로 합니다.",https://www.wanted.co.kr/wd/206333
22,트루테크놀로지스,서울특별시 영등포구 의사당대로 83 (여의도동),소프트웨어 엔지니어,"Java,Javascript,REACT/Redux,TDD,BDD•NativeKoreanspeakerwithfluentEnglish•ContinuousDelivery",1,"• Rust, Cucumber, AWS, CloudFormation, Terraform",https://www.wanted.co.kr/wd/198563
23,에타일렉트로닉스,"서울 용산구 원효로 271, 삼이빌딩 6층",소프트웨어 엔지니어,"전자,전산,컴퓨터공학등전공자",1,"• 임베디드 F/W 라이브러리 포팅 및 개발, • IoT 관련 개발 및 설계, • 알고리즘 기획/설계/개발, • 무선충전 관련 지식 보유",https://www.wanted.co.kr/wd/99005
24,프렉스코리아(Presto),"서울특별시 영등포구 국제금융로 10, Two IFC, 7층",소프트웨어 엔지니어,"ExcellentprogrammingskillsinTypescriptandPython•Excellentdesigningfault, tolerantsoftware•Thoroughknowledgeofcomputerarchitectureandnetworks•AfirmgraspofgoodprinciplesofsoftwareengineeringlikeTDD(unittestcoverageupto80%),writingmodular,maintainable,refactorable,cleancode,andareusedtoworkinginanAgileenvironment•Strongsenseofownership,urgency,anddrive",2,"• Experience building micro-service architecture systems, test automation, large-scale database design, scaling, operating system and network layer performance tuning, • Computer Science / Engineering degree preferable, • Self-driven and proactive personality, • English proficiency in writing and speaking",https://www.wanted.co.kr/wd/198886
25,체인앱시스,"서울특별시 강남구 봉은사로18길 71, 2층(SG아트타워)",소프트웨어 엔지니어,"TypeScript/JavaScript개발경력최소3년이상또는그에준하는역량보유•NestJS,Express경험및해당생태계에대한이해가있는분",3,"• 블록체인 개발 경험이 있으신 분, • Git/GitHub 사용 경험, • Go 언어 개발 경력, • 해외 개발자와 소통이 가능하신 분, , Q 사전 질문, [Optional 1] 개발하면서 가장 기억에 남는 문제가 뭔지, 그 문제를 어떻게 해결했는지 공유해주세요., [Optional 2] 저희가 만들고 있는 Keplr 제품에 대한 의견이나 궁금한 것이 있다면 공유해주세요.",https://www.wanted.co.kr/wd/169095
26,에너닷,"서울시 서초구 남부순환로350길12, 7층",소프트웨어 엔지니어,"프로그래밍언어중급이상숙련자(Python,C,C++,웹애플리케이션프레임워크등)",1,"• 전력ICT 분야 시스템 개발 경험자, • EMS/PMS/BMS 시스템 개발 경험자, • 신재생에너지 관리 시스템 개발 경험자, • 전기관련 전공 및 자격증 보유자",https://www.wanted.co.kr/wd/201671
27,파더스랩,"서울특별시 강남구 언주로 540, 4층",소프트웨어 엔지니어,"대졸이상학력•경력5년이상•React,Vue,Angular중1개이상의개발경험•javascript개발경험•Typescript개발경험",5,"• 상용 서비스 개발 경험, • 백엔드/퍼블리싱/앱 개발 경험",https://www.wanted.co.kr/wd/173394
28,아하앤컴퍼니,"서울특별시 강남구 테헤란로 79길 6, 4층 (제이에스타워)",소프트웨어 엔지니어,"Android개발경력3년이상또는그에준하는실력을갖추신분•JAVA/Kotlin기반의프로젝트개발경험혹은빠르게습득할수있는능력•AndroidPlatform에대한폭넓은이해를보유하신분•AndroidJetpack을이용한개발경험이있으신분•Reactive프로그래밍에대한이해및KotlinCoroutines사용경험보유•서버,기획,디자인등다양한직군이동료들과원활하게소통하고적극적으로협업하실수있는분",3,"• 유닛 테스트 및 UI 테스트 작성 경험, • 코드 개선 및 코드 리뷰에 적극 참여하시는 분, • 클린 아키텍처에 대한 이해 및 프로젝트 적용 경험 보유, • MVP, MVVM, MVC 등의 디자인 패턴 적용에 대한 경험, • Jetpack Compose 에 대한 관심과 경험, • 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분, • 능동적으로 문제점을 찾고 해결하는 것을 즐기시는 분, • 웹뷰 기반의 앱에서 딥링크 처리를 경험해 보신 분",https://www.wanted.co.kr/wd/177879
29,어반데이터랩,서울시 종로구 창경궁로 240-7 2층,소프트웨어 엔지니어,"Backend프레임워크활용및개발경력4년이상경험혹은그에준하는실력•다양한Frontend, framework(Angular,Vue,React등)개발경험과이해•프레임워크활용개발환경구성경험자•SQL작성중급이상실력보유자•자체플랫폼구축또는대외SI프로젝트PL경험자",4,"• 웹서비스 환경 및 개발 프로세스에 대한 높은 이해를 가지신 분, • 팀을 이끌며 커뮤니케이션 능력 우수하신 분, • Cloud환경 경험 및 이해하고 계신분(AWS, NCP 등), • Python 개발경험 있으신분 (django, flask)",https://www.wanted.co.kr/wd/137522
30,아하앤컴퍼니,"서울특별시 강남구 테헤란로 79길 6, 4층 (제이에스타워)",소프트웨어 엔지니어,"최소5년이상의프론트엔드개발경력을보유하신분•최소5명이상규모팀을리드하면서팀원을코칭하고양성한경험이있는분•최소한가지의프론트엔드프레임워크에능통하신분•최소한가지의개발언어에능통하여개발이익숙하고기술적도전과제를해결함에있어주저함이없는분•개발효율향상을위해서라면툴과인프라를도입하는데에거리낌이없으신분•AutomatedTesting,CI,CD경험이있는분•본인이최고의팔로워로서의마음가짐과역할을정확히알고있고구성원들에게해당내용을명확히설파,전파하실수있는분",5,"• 기존 서비스의 레거시, 성능 저하 등으로 인해 기술 스택을 변경해 보신 분, • React Native 의 성능 향상/최적화에 대해 깊이 고심해 보신 분, • 웹 접근성, 웹 표준, 반응형 디자인을 고려한 UI 개발 경험이 있는 분, • 모바일 앱 내 유려한 웹뷰 환경을 개발한 경험이 있으신 분, • 리더로서 다양한 팀과의 원활한 업무 진행을 위해 깊이 고민하고 계시거나 고민해 보신 분, • AWS, GCP, Vercel, Netlify 등을 사용해 프론트엔드 CI/CD를 설계하거나 구축한 경험이 있으신 분, • 다양한 서비스를 mono repo 로 구축해 보신 분, • 오픈 마인드와 기술에 대한 근본적인 이해 및 호기심이 있어 주변 구성원들과 끊임없이 대화하실 수 있는 분",https://www.wanted.co.kr/wd/167055
31,케이에스티씨,강남구 테헤란로6길 30,소프트웨어 엔지니어,필수언어:Golang(혹은JAVA)ㆍ개발이력10년이상혹은동종업계경력6년이상,10,"ㆍ영어 혹은 중국어 가능자, ㆍ대용량 트레픽 처리 및 네트워크 보안 유 경험자 , ㆍB2C 서비스 런칭 유 경험자",https://www.wanted.co.kr/wd/173563
32,임플로이랩스,"경기도 성남시 분당구 판교로 289번길 20, 3동 2층 디지털오픈랩 B-10호 (삼평동, 스타트업캠퍼스)",소프트웨어 엔지니어,"python,javascript,Nodejs,Django,reactjs,nextjs,MySQL,AWS지식을갖춘분·7년이상의개발경력을가진분·ReactNative앱빌드경험·연봉5,000만원~8,000만원·스톡3,000만원~1억원",7,"· 주도적으로 효율적인 개발환경을 만들어가는 분, · Back-end 또는 Devops로서 3년 이상의 경험을 가진 분, · 다양한 개발 환경을 경험한 분, · 사업, 기획 등 타 직무 동료와 협업을 통해 시너지를 얻은 경험이 있는 분, · 문제가 발생했을 때 솔직하게 공유하고 해결법을 함께 모색하는 분, · 어려운 문제를 집요하고 꼼꼼하게 해결해 가는 분, · 프로젝트를 처음부터 끝까지 경험한 분, · 1인 개발, 서비스 출시, 운영까지 경험한 분, · 초기 스타트업 경험이 있는 분, · 대기업 경험이 있는 분, · 개발실장, 개발본부장, CTO 경험이 있는 분",https://www.wanted.co.kr/wd/175164
33,파이온코퍼레이션,"서울시 강남구 삼성로 85길 26, V&S 601호",소프트웨어 엔지니어,이미지편집기를만들수있는FE기술전문가•React기반SPA프론트엔드개발경력5년이상•고객요구사항에맞춘개발스택대응에거부감없으신분,5,"• 풀스택 개발 경험, • 온라인 광고 관련 서비스 / 플랫폼 개발 경험, • 컴퓨터 학과 졸업자, • 렌더링 최적화 등의 프론트엔드 성능 개선 지식 및 경험",https://www.wanted.co.kr/wd/190718
34,이큐브랩 (Ecube Labs),"서울특별시 구로구 디지털로 300, A동 13층",소프트웨어 엔지니어," 만5년이상의Front, end개발경험또는이에준하는지식보유, TypeScript를이용한제품개발경험보유, Webpack/Parcel/Vite와같은번들러구성경험보유, React를이용한제품개발경험보유, Storybook을이용한UI구성요소개발경험보유, TDD/BDD경험보유, 웹서비스성능최적화경험보유(Lighthouse기준Performance95~100점), ICUMessages에대한지식보유",5,"- WebSocket을 이용한 실시간 서비스 개발 경험, - Zeplin을 이용한 디자이너와의 협업 경험, - E2E 테스트 경험 보유",https://www.wanted.co.kr/wd/115296
35,네고시오,"서울 강남구 선릉로94길 11, 4층 (삼성동, 삼성2빌딩)",소프트웨어 엔지니어," 5년이상의백엔드개발경력보유, 시니어레벨이상의역량을갖춘개발자우대, RESTfulAPI설계및구현능력보유, OOP에대한깊은이해, 데이터베이스설계및관리경험(SQL,NoSQL등), 대용량데이터처리및최적화경험, AWS클라우드서비스관리경험",5,"- 스타트업 문화를 사랑하시는 분!, - 모든일에 주도적으로 책임감 가지고 업무를 보실수 있는 분, - 프로젝트 관리 및 팀원 지도 경험 우대",https://www.wanted.co.kr/wd/124186
