,기업명,주소,직무,자격요건,직급,이용하는기술스택/우대사항,해당 페이지 URL
887,위펀(스낵24),"서울시 강남구 강남대로 374, 15층",프론트엔드 개발자," 3년이상의웹프론트엔드개발경험또는그에준하는역량을보유하신분, 최신JavaScript(ES6이상),HTML5,CSS3를능숙하게사용하시는분, 1년이상의React실무경험, TypeScript를사용한실무경험, Git을통한팀단위프로젝트경험, SemanticMarkup,웹표준,웹접근성,크로스브라우징,반응형웹개발에능숙하신분, 브라우저렌더링,네트워크통신과정의기본적인이해가있으신분",3,"- UI / UX 개선에 대해 민감하고 높은 가치를 두고 있으신 분, - 대화를 할 때 타인의 의견을 경청하고 존중하고자 노력하시는 분, - 더 나은 개발환경과 문화를 위해 동료들과 함께 고민하고 점진적으로 실행 가능하신 분, - 코드를 함께 검토하고 보완하는 문화에 익숙하거나 거부감이 없는 분",https://www.wanted.co.kr/wd/169810
888,쿠캣(Cookat),서울 강남구 삼성동 108-14 OTC빌딩 4F,프론트엔드 개발자," 웹애플리케이션개발실무3년차이상또는그에준하는역량을보유하신분, CS(ComputerScience)기본지식(알고리즘,자료구조,파일처리,운영체제,네트워크,데이터베이스)에대한이해가있으신분, Vanilla/typescript실무를진행한경험이있으신분, PHPWebframework(예:Codeigniter,Laravel)를활용한웹서비스개발경험이있으신분, Mysql(MariaDB),Oracle등RDBMS유경험자, HTTP또는RESTfulAPI클라이언트개발경험이있으신분, Git의이해와경험이있으신분",3,"- 마이크로서비스 아키텍쳐 기반 서비스 개발 경험이 있으신 분, - java/Kotlin/Spring framework, boot, batch 서버 개발 경력이 있으신 분, - E-Commerce 등 유관 프로젝트 경험이 풍부하신 분, - React 개발 경험이 있으신 분, - DevOps (AWS) 개발 경험이 있으신 분, - 동시성 제어 및 성능 튜닝 경험이 있으신 분, - 테스트 자동화 및 배포 자동화 유경험자, - 웹사이트 보안에 대한 이해, - 인하우스 제품을 개발하고 개선한 경험이 있으신 분, - 고성능, 대용량 시스템 개발 경험이 있으신 분, - 포트폴리오 제출 가능하신 분",https://www.wanted.co.kr/wd/158122
889,링글잉글리시에듀케이션서비스,서초구 서초대로78길 22 홍우2빌딩 11층,프론트엔드 개발자,"React프로그래밍경험이있으신분•React,Redux,HTML,CSS,SCSS관련지식과경험이있으신분",1,• 커뮤니케이션/팀웍 등 우수한 소프트스킬을 보유하신 분,https://www.wanted.co.kr/wd/91906
890,베어런,"강남구 선릉로93길 40, 나라키움A 빌딩 5층(코이카 이노포트) SDG 8호",프론트엔드 개발자,"경력3년~6년•HTML,CSS,Javascript(ES6)에대한이해와역량•RESTfulAPI를연동하여서비스를개발한경험•vue.js등SPA프레임워크사용경험•webpack,vite등번들링환경에대한이해및경험",3,"• typescript에 대한 이해, • 반응형 웹 개발 경험, • 새로운 것을 시도하고, 배우는 것을 좋아하는 사람, • 커뮤니케이션 과 팀워크 의 중요성을 인식하고, 자존감이 높은 사람",https://www.wanted.co.kr/wd/129558
891,바리코퍼레이션(BareeInc),서울특별시 서초구 서초동 1550-15,프론트엔드 개발자,"HTML,CSS,JavaScript에익숙하신분•TypeScript와같은정적타이핑툴경험이있으신분•React기반의SPA프로젝트개발경험이있으신분•사용자중심적인사고로co, work가능하신분",1,"•Webpack, Parcel 등 모듈 번들러에 대한 이해가 있으신 분, , • GraphQL 사용 경험이 있으신 분, , • Next.js, Remix.js 등 SPA framework 를 통한 SSR 경험이 있으신 분, , • UI/UX 개선과 관련된 고민을 좋아하시는 분, , • 새로운 기술에 관심이 있고, 성장을 위해 노력하시는 분, , • React - Native를 통해 네이티브 어플리케이션을 개발한 경험이 있으신 분, , • 모터사이클에 대한 관심과 애정을 가지신 분",https://www.wanted.co.kr/wd/150592
892,에스제이에이치스튜디오,재택,프론트엔드 개발자,음,1,"• 웹 어플리케이션의 server-side 와 client-side 연동 개발 경험, • Javascript 프로젝트 개발 경험, • Linux/Unix 환경 경험, • JS Framework 사용 경험, • Game Engine 사용 경험, • Unity 사용 경험, • Grunt 등의 build tool 사용 경험, • 구성원과 조화롭고 즐겁게 일할 수 있는 분",https://www.wanted.co.kr/wd/144972
893,바이너리브릿지(BinaryBridgeInc.),서초대로 56길 31,프론트엔드 개발자,"수사항•Flutter(Dart),Android(Kotlin),iOS(Swift),react.js(JS)중1개이상가능한분•1~5년차Front, end기술스택•FlutterNull, safety,BLoC,GetX•RxJava,Coroutine,MVVM,Dagger•SwiftUI•Git•Jira/Confluence•Travis•Fastlane",1,"• 다양한 플랫폼에서의 개발 경험이 있으신 분, • 다양한 아키텍쳐에 대한 이해가 있으신 분, • Git 브랜치 관리 기법 대한 이해가 높으신 분, • 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분, • 페어 코딩 및 코드 리뷰에 대해 긍정적이시며 적극 참여하시는 분, • TDD 개발을 실무에서 진행해 보신 분, • 언어/플랫폼에 한정적이지 않고 서비스 관점으로 생각하시는 분, • 장애 발생시 트러블슈팅을 원활히 해내실 수 있는 분",https://www.wanted.co.kr/wd/142054
894,더블엑스소프트(크립토택스),"서울특별시 강남구 테헤란로 77길 11-9, 9층(삼성동, 삼성타워)",자바 개발자,"Java기반개발경력3년이상•Spring프레임워크에대한이해와경험•데이터베이스(MySQL,MongoDB,등)에대한이해와경험•AWS의다양한서비스를사용해보신",3,"• Github을 이용한 협업 경험, • AWS 사용 경험(Lambda, EC2, API Gateway, RDS 등), • 블록체인, 암호화폐에 대한 이해 및 경험, • 암호화폐 거래소, 증권사, 금융권 이해 및 경험",https://www.wanted.co.kr/wd/207503
895,티니어,서울시 구로구 디지털로 306 대륭포스트타워 2차 1001호 TNEAR,자바 개발자,"iOS애플리케이션개발경험(3년이상)•SwiftUI에대한이해가높은분•기획자,디자이너와다양한소통및협업경험•Git사용에대한이해및협업경험•앱스토어에앱출시경험이있으신분•적극적으로코드리뷰에참여하며긍정적인사고를지니신분",2,"•  디자인 패턴 이해( MVVM, 클린 아키텍처 등), •  Modular Architecture를 경험해 보신 분, •  유닛 테스트에 대한 경험이 있으신 분, •  CI/CD 경험, •  Firebase (Ga4, crash) 사용 경험, •  iOS 앱의 기능과 디자인 개선을 위한 최신 기술과 트렌드에 대한 관심이 많은 분, •  iPad OS, mac OS 최적화 경험이 있으신 분",https://www.wanted.co.kr/wd/207403
896,플랫브레드,서울특별시 송파구 문정로4길 16 (문정동 64-1),자바 개발자,"자격요건]•학력:무관•경력:5년이상[필수지식/경험]•Java,SpringBoot,MyBatis•RDMS(MySql)테이블분석및설계•Docker,Git,Jenkins",5,"• 대용량 데이터 집계 및 분석/분산 처리 경험, • 다양한 RDMS, NoSQL 경험, • Kubernetes or OpenShift 등 컨테이너 오케스트레이션 경험, • 광고 플랫폼 개별 경험 , • SSP, DSP, DMP 등에 대한 이해, • 보훈대상자",https://www.wanted.co.kr/wd/200084
