,기업명,설립연도,매출액,사원수,업종분류,기업규모,주소,기업 홈페이지 URL
158,아이디에스앤트러스트,1996년 1월 16일,"90억 3,851만원 (2017)",86 명 재직중,소프트웨어·솔루션·ASP,중견기업,서울특별시 강남구 봉은사로 644 대웅제약 신관3층지도보기,//www.idstrust.com
159,루와콘텐츠그룹,2017년 7월 3일,"17억 3,940만원 (2022)",28 명 재직중,방송·광고·영상·오디오,중소기업,"서울특별시 구로구 디지털로 272 (구로동,한신아이티타워) 411호지도보기",//www.roowa.co.kr
160,클러스터지원그룹,2008년 4월 24일,"51억 9,575만원 (2021)",48 명 재직중,소프트웨어·솔루션·ASP,중소기업,"경기도 군포시 공단로 149 408호 (당동, 아이밸리군포)지도보기",//www.icoop.or.kr
161,에그버스,2022년 3월 14일,-,20 명 재직중,소프트웨어·솔루션·ASP,중소기업,,
162,풀스택,2021년 10월 22일,-,6 명 재직중,연구개발업,중소기업,,
163,빅픽처인터렉티브,2015년 4월 6일,"151억 1,737만원 (2022)",140 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,서울특별시 금천구 독산로31길 9 빅픽처인터렉티브지도보기,//www.bigpi.co/
164,리본솔루션,1999년 12월 18일,17억 463만원 (2012),8 명 재직중,인쇄·기록매체복제업,중소기업,경기도 안양시 동안구 흥안대로 61-1 지층 (호계동)지도보기,//www.elabelmart.com
165,타이로스코프,2020년 4월 27일,-,11 명 재직중,의료·정밀·시계·광학기기,중소기업,울산광역시 울주군 언양읍 유니스트길 50 114동 606-9호(유니스트 경영관) (반연리)지도보기,//thyroscope.com
166,지로,2020년 12월 14일,-,-,부동산업,중소기업,"경기도 부천시 조마루로385번길 92 (원미동,부천테크노밸리 U1 center)지도보기",//parancorp.kr/
167,수성엔지니어링,1992년 8월 1일,-,780 명 재직중,건설·건축·토목·조경,중견기업,서울 송파구 송파동 167-1 수성빌딩지도보기,//www.soosungeng.com
168,액스,2015년 5월 25일,38억원 (2019),33 명 재직중 (헤드헌터 1 명),용역·인력알선,중소기업,서울특별시 강남구 테헤란로 216 근무지 파주지도보기,//www.pxi365.com
169,아나토마지코리아,2008년 7월 23일,"26억 5,000만원 (2021)",45 명 재직중,소매,중소기업,"서울특별시 강남구 테헤란로84길 15 4층, 10층 (대치동,시몬타워)지도보기",//www.anatomage.co.kr
170,플랫포스,2015년 10월 16일,"33억 4,119만원 (2022)",10 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 중구 퇴계로36길 2, 충무로관 신관 201호 (필동2가,동국대학교)지도보기",//www.platfos.com
171,스마일랩,2013년 6월 14일,"56억 6,522만원 (2022)",9 명 재직중,도매·상품중개,중소기업,"경기도 성남시 중원구 둔촌대로 464 10층 1004호 (상대원동,드림테크노)지도보기",//www.smilelab.co.kr
172,밸류맵,2015년 4월 8일,2억 803만원 (2022),-,소프트웨어·솔루션·ASP,중소기업,,
173,롱기스트,2020년 12월 18일,-,4 명 재직중,방송·광고·영상·오디오,중소기업,,
174,에이피알,2014년 10월 10일,-,241 명 재직중,유통,중견기업,서울특별시 송파구 올림픽로 300 36층(신천동)지도보기,//www.apr-in.com
175,에스제이에이치스튜디오,2015년 10월 19일,-,15 명 재직중,소프트웨어·솔루션·ASP,중소기업,서울특별시 강남구 논현로85길 46 (역삼동) 메가존빌딩 11층지도보기,//www.sjh-studio.com/
176,에이블제이,2021년 1월 29일,"11억 5,730만원 (2022)",2 명 재직중,네트워크·통신,중소기업,"서울특별시 강남구 강남대로94길 18 3층 301호 (역삼동,삼행빌딩)지도보기",//interviewbox.co.kr/
177,뉴아인,1978년 6월 5일,"477억 2,529만원 (2022)",132 명 재직중,철강·금속·비금속,중소기업,"서울특별시 서초구 바우뫼로37길 23-6 (양재동,태홍빌딩) 3층지도보기",//www.asia.co.kr
178,어밸브,2019년 1월 7일,"9억 5,198만원 (2022)",6 명 재직중,개인서비스,중소기업,"서울특별시 서초구 반포대로9길 7 (서초동,서초미래빌딩) 3층 어밸브지도보기",//www.avalve.co.kr/
179,플레이위드,1984년 7월 25일,145억 548만원 (2022),73 명 재직중,인터넷·포털·컨텐츠·게임,중소기업,경기도 성남시 분당구 판교로256번길 25 (삼평동) GBII C동 9층지도보기,//www.playwith.co.kr
180,소프트웨어인라이프,2010년 9월 28일,"20억 5,723만원 (2022)",13 명 재직중,소프트웨어·솔루션·ASP,중견기업,"서울특별시 강남구 테헤란로20길 16 (역삼동,금정빌딩) 3층지도보기",//www.softwareinlife.com
181,메디허브,2008년 11월 20일,"33억 2,694만원 (2022)",-,연구개발업,,강원 홍천군 홍천읍 생명과학관길 84 (연봉리)101지도보기,//www.himh.co.kr
182,솔로몬텍,2012년 3월 2일,"548억 3,127만원 (2022)",510 명 재직중,소프트웨어·솔루션·ASP,중소기업,"서울특별시 영등포구 당산로37길 16 (당산동4가,씨에스로직스복합시설), 3층지도보기",//www.solomontech.net
183,디웨이브,2020년 9월 28일,2만원 (2022),2 명 재직중,개인서비스,중소기업,"서울특별시 강남구 강남대로 354 7층 707호 (역삼동,혜천빌딩)지도보기",//clicksound.kr
